DTSTART,DTEND,CALENDAR,DURATION,CREATED,TITLE
2025-01-07 08:00:00,2025-01-07 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
2025-01-07 10:00:00,2025-01-07 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
2025-01-07 12:30:00,2025-01-07 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
2025-01-07 16:00:00,2025-01-07 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
2025-01-07 18:00:00,2025-01-07 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
2025-01-07 20:00:00,2025-01-07 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
2025-01-08 08:00:00,2025-01-08 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
2025-01-08 10:00:00,2025-01-08 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
2025-01-08 12:30:00,2025-01-08 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
2025-01-08 16:00:00,2025-01-08 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
2025-01-08 18:00:00,2025-01-08 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
2025-01-08 20:00:00,2025-01-08 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
2025-01-09 08:00:00,2025-01-09 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
2025-01-09 10:00:00,2025-01-09 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
2025-01-09 12:30:00,2025-01-09 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
2025-01-09 16:00:00,2025-01-09 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
2025-01-09 18:00:00,2025-01-09 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
2025-01-09 20:00:00,2025-01-09 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
2025-01-10 08:00:00,2025-01-10 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
2025-01-10 10:00:00,2025-01-10 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
2025-01-10 12:30:00,2025-01-10 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
2025-01-10 16:00:00,2025-01-10 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
2025-01-10 18:00:00,2025-01-10 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
2025-01-10 20:00:00,2025-01-10 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
2025-01-11 08:00:00,2025-01-11 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
2025-01-11 10:00:00,2025-01-11 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
2025-01-11 12:30:00,2025-01-11 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
2025-01-11 16:00:00,2025-01-11 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
2025-01-11 18:00:00,2025-01-11 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
2025-01-11 20:00:00,2025-01-11 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
2025-01-12 08:00:00,2025-01-12 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
2025-01-12 10:00:00,2025-01-12 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
2025-01-12 12:30:00,2025-01-12 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
2025-01-12 16:00:00,2025-01-12 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
